mmsi,vessel_proximity,timestamp
564780000,"[563014650, 565761000]",2023-03-04 17:30:00+00:00
563014650,"[564780000, 565761000]",2023-03-04 17:30:00+00:00
565761000,"[564780000, 563014650]",2023-03-04 17:30:00+00:00
565761000,[564780000],2023-03-04 18:30:00+00:00
564780000,[565761000],2023-03-04 18:30:00+00:00
564780000,[563014650],2023-03-05 07:30:00+00:00
563014650,[564780000],2023-03-05 07:30:00+00:00
563014650,[564780000],2023-03-05 08:30:00+00:00
564780000,[563014650],2023-03-05 08:30:00+00:00
564780000,[563014650],2023-03-05 09:30:00+00:00
563014650,[564780000],2023-03-05 09:30:00+00:00
564780000,[563014650],2023-03-05 10:30:00+00:00
563014650,[564780000],2023-03-05 10:30:00+00:00
564780000,[563014650],2023-03-05 11:30:00+00:00
563014650,[564780000],2023-03-05 11:30:00+00:00
564780000,[563014650],2023-03-05 12:30:00+00:00
563014650,[564780000],2023-03-05 12:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 13:30:00+00:00
563014650,"[563078430, 564780000]",2023-03-05 13:30:00+00:00
564780000,"[563078430, 563014650]",2023-03-05 13:30:00+00:00
563014650,"[564780000, 563078430]",2023-03-05 14:30:00+00:00
564780000,"[563014650, 563078430]",2023-03-05 14:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 14:30:00+00:00
563014650,"[564780000, 563078430]",2023-03-05 15:30:00+00:00
564780000,"[563014650, 563078430]",2023-03-05 15:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 15:30:00+00:00
563014650,"[563078430, 564780000]",2023-03-05 16:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 16:30:00+00:00
564780000,"[563014650, 563078430]",2023-03-05 16:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 17:30:00+00:00
563014650,"[563078430, 564780000]",2023-03-05 17:30:00+00:00
564780000,"[563078430, 563014650]",2023-03-05 17:30:00+00:00
563014650,"[563078430, 564780000]",2023-03-05 18:30:00+00:00
563078430,"[563014650, 564780000]",2023-03-05 18:30:00+00:00
564780000,"[563014650, 563078430]",2023-03-05 18:30:00+00:00
563014650,[564780000],2023-03-05 19:30:00+00:00
564780000,[563014650],2023-03-05 19:30:00+00:00
563014650,[564654000],2023-03-06 01:30:00+00:00
564654000,[563014650],2023-03-06 01:30:00+00:00
563014650,[564654000],2023-03-06 02:30:00+00:00
564654000,[563014650],2023-03-06 02:30:00+00:00
564654000,[563014650],2023-03-06 03:30:00+00:00
563014650,[564654000],2023-03-06 03:30:00+00:00
563014650,[563078430],2023-03-06 11:30:00+00:00
563078430,[563014650],2023-03-06 11:30:00+00:00
563014650,[563078430],2023-03-06 12:30:00+00:00
563078430,[563014650],2023-03-06 12:30:00+00:00
563078430,[563014650],2023-03-06 13:30:00+00:00
563014650,[563078430],2023-03-06 13:30:00+00:00
563078430,[563014650],2023-03-06 14:30:00+00:00
563014650,[563078430],2023-03-06 14:30:00+00:00
563078430,[563014650],2023-03-06 15:30:00+00:00
563014650,[563078430],2023-03-06 15:30:00+00:00
563014650,[563078430],2023-03-06 16:30:00+00:00
563078430,[563014650],2023-03-06 16:30:00+00:00
565761000,[563014650],2023-03-07 10:30:00+00:00
563014650,[565761000],2023-03-07 10:30:00+00:00
564780000,[563014650],2023-03-08 13:30:00+00:00
563014650,[564780000],2023-03-08 13:30:00+00:00
564780000,[563014650],2023-03-08 14:30:00+00:00
563014650,[564780000],2023-03-08 14:30:00+00:00
565761000,[564780000],2023-03-08 17:30:00+00:00
564780000,[565761000],2023-03-08 17:30:00+00:00
564780000,"[563014650, 565761000]",2023-03-08 18:30:00+00:00
563014650,"[564780000, 565761000]",2023-03-08 18:30:00+00:00
565761000,"[564780000, 563014650]",2023-03-08 18:30:00+00:00
563014650,"[565761000, 564780000]",2023-03-08 19:30:00+00:00
565761000,"[563014650, 564780000]",2023-03-08 19:30:00+00:00
564780000,"[563014650, 565761000]",2023-03-08 19:30:00+00:00
565761000,[563014650],2023-03-08 20:30:00+00:00
563014650,[565761000],2023-03-08 20:30:00+00:00
564780000,"[563014650, 565761000]",2023-03-08 22:30:00+00:00
563014650,"[564780000, 565761000]",2023-03-08 22:30:00+00:00
565761000,"[564780000, 563014650]",2023-03-08 22:30:00+00:00
564780000,[563014650],2023-03-08 23:30:00+00:00
563014650,[564780000],2023-03-08 23:30:00+00:00
564780000,[563014650],2023-03-09 00:30:00+00:00
563014650,[564780000],2023-03-09 00:30:00+00:00
564780000,[563014650],2023-03-09 01:30:00+00:00
563014650,[564780000],2023-03-09 01:30:00+00:00
563014650,[564780000],2023-03-09 02:30:00+00:00
564780000,[563014650],2023-03-09 02:30:00+00:00
564780000,[563014650],2023-03-09 03:30:00+00:00
563014650,[564780000],2023-03-09 03:30:00+00:00
564780000,[563014650],2023-03-09 04:30:00+00:00
563014650,[564780000],2023-03-09 04:30:00+00:00
564780000,[563014650],2023-03-09 05:30:00+00:00
563014650,[564780000],2023-03-09 05:30:00+00:00
563014650,[564780000],2023-03-09 06:30:00+00:00
564780000,[563014650],2023-03-09 06:30:00+00:00
563014650,[564780000],2023-03-09 07:30:00+00:00
564780000,[563014650],2023-03-09 07:30:00+00:00
564780000,[563014650],2023-03-09 08:30:00+00:00
563014650,[564780000],2023-03-09 08:30:00+00:00
564780000,[563014650],2023-03-09 09:30:00+00:00
563014650,[564780000],2023-03-09 09:30:00+00:00
563014650,[564780000],2023-03-09 10:30:00+00:00
564780000,[563014650],2023-03-09 10:30:00+00:00
563014650,[564780000],2023-03-09 11:30:00+00:00
564780000,[563014650],2023-03-09 11:30:00+00:00
563014650,[564780000],2023-03-09 13:30:00+00:00
564780000,[563014650],2023-03-09 13:30:00+00:00
564780000,[563014650],2023-03-09 14:30:00+00:00
563014650,[564780000],2023-03-09 14:30:00+00:00
565761000,[564780000],2023-03-10 16:30:00+00:00
564780000,[565761000],2023-03-10 16:30:00+00:00
564780000,[565761000],2023-03-10 17:30:00+00:00
565761000,[564780000],2023-03-10 17:30:00+00:00
564780000,[565761000],2023-03-10 18:30:00+00:00
565761000,[564780000],2023-03-10 18:30:00+00:00
565761000,[564780000],2023-03-10 19:30:00+00:00
564780000,[565761000],2023-03-10 19:30:00+00:00
565761000,[352002300],2023-03-12 14:30:00+00:00
352002300,[565761000],2023-03-12 14:30:00+00:00
564780000,[563014650],2023-03-12 14:30:00+00:00
563014650,[564780000],2023-03-12 14:30:00+00:00
565761000,[352002300],2023-03-12 15:30:00+00:00
564780000,[563014650],2023-03-12 15:30:00+00:00
563014650,[564780000],2023-03-12 15:30:00+00:00
352002300,[565761000],2023-03-12 15:30:00+00:00
352002300,[565761000],2023-03-12 16:30:00+00:00
565761000,[352002300],2023-03-12 16:30:00+00:00
563014650,[352002300],2023-03-12 21:30:00+00:00
352002300,[563014650],2023-03-12 21:30:00+00:00
563014650,[352002300],2023-03-12 22:30:00+00:00
352002300,[563014650],2023-03-12 22:30:00+00:00
563014650,[352002300],2023-03-12 23:30:00+00:00
352002300,[563014650],2023-03-12 23:30:00+00:00
563078430,"[563014650, 352002300]",2023-03-13 00:30:00+00:00
563014650,"[563078430, 352002300]",2023-03-13 00:30:00+00:00
352002300,"[563078430, 563014650]",2023-03-13 00:30:00+00:00
352002300,[563014650],2023-03-13 01:12:24+00:00
563014650,[352002300],2023-03-13 01:12:24+00:00
563078430,"[563014650, 352002300]",2023-03-13 02:30:00+00:00
563014650,"[563078430, 352002300]",2023-03-13 02:30:00+00:00
352002300,"[563078430, 563014650]",2023-03-13 02:30:00+00:00
563078430,[352002300],2023-03-13 03:30:00+00:00
352002300,[563078430],2023-03-13 03:30:00+00:00
563078430,"[564780000, 352002300]",2023-03-13 05:30:00+00:00
564780000,"[563078430, 352002300]",2023-03-13 05:30:00+00:00
352002300,"[563078430, 564780000]",2023-03-13 05:30:00+00:00
564780000,"[352002300, 563078430]",2023-03-13 06:30:00+00:00
352002300,"[564780000, 563078430]",2023-03-13 06:30:00+00:00
563078430,"[564780000, 352002300]",2023-03-13 06:30:00+00:00
352002300,"[563078430, 564780000]",2023-03-13 07:30:00+00:00
563078430,"[352002300, 564780000]",2023-03-13 07:30:00+00:00
564780000,"[352002300, 563078430]",2023-03-13 07:30:00+00:00
564780000,"[563078430, 352002300]",2023-03-13 08:30:00+00:00
563078430,"[564780000, 352002300]",2023-03-13 08:30:00+00:00
352002300,"[564780000, 563078430]",2023-03-13 08:30:00+00:00
352002300,[564780000],2023-03-13 09:30:00+00:00
564780000,[352002300],2023-03-13 09:30:00+00:00
563078430,[352002300],2023-03-13 10:30:00+00:00
563014650,[565761000],2023-03-13 10:30:00+00:00
565761000,[563014650],2023-03-13 10:30:00+00:00
352002300,[563078430],2023-03-13 10:30:00+00:00
352002300,[563078430],2023-03-13 11:30:00+00:00
563078430,[352002300],2023-03-13 11:30:00+00:00
563078430,[352002300],2023-03-13 12:30:00+00:00
352002300,[563078430],2023-03-13 12:30:00+00:00
352002300,[563078430],2023-03-13 13:30:00+00:00
563078430,[352002300],2023-03-13 13:30:00+00:00
563078430,[352002300],2023-03-13 14:30:00+00:00
352002300,[563078430],2023-03-13 14:30:00+00:00
352002300,[563078430],2023-03-13 15:30:00+00:00
563078430,[352002300],2023-03-13 15:30:00+00:00
563078430,[352002300],2023-03-13 16:30:00+00:00
564780000,[563014650],2023-03-13 16:30:00+00:00
563014650,[564780000],2023-03-13 16:30:00+00:00
352002300,[563078430],2023-03-13 16:30:00+00:00
563014650,[564780000],2023-03-13 17:30:00+00:00
563078430,[352002300],2023-03-13 17:30:00+00:00
564780000,[563014650],2023-03-13 17:30:00+00:00
352002300,[563078430],2023-03-13 17:30:00+00:00
563014650,[564780000],2023-03-13 18:30:00+00:00
352002300,[563078430],2023-03-13 18:30:00+00:00
564780000,[563014650],2023-03-13 18:30:00+00:00
563078430,[352002300],2023-03-13 18:30:00+00:00
563078430,[352002300],2023-03-13 19:30:00+00:00
564780000,[563014650],2023-03-13 19:30:00+00:00
352002300,[563078430],2023-03-13 19:30:00+00:00
563014650,[564780000],2023-03-13 19:30:00+00:00
563014650,[564780000],2023-03-13 20:30:00+00:00
564780000,[563014650],2023-03-13 20:30:00+00:00
352002300,[563078430],2023-03-13 20:30:00+00:00
563078430,[352002300],2023-03-13 20:30:00+00:00
352002300,[563078430],2023-03-13 21:30:00+00:00
563078430,[352002300],2023-03-13 21:30:00+00:00
564780000,[563014650],2023-03-13 21:30:00+00:00
563014650,[564780000],2023-03-13 21:30:00+00:00
563078430,[352002300],2023-03-13 22:30:00+00:00
352002300,[563078430],2023-03-13 22:30:00+00:00
563078430,[352002300],2023-03-14 00:30:00+00:00
352002300,[563078430],2023-03-14 00:30:00+00:00
352656000,[538008064],2023-03-14 03:30:00+00:00
564780000,[563014650],2023-03-14 03:30:00+00:00
563014650,[564780000],2023-03-14 03:30:00+00:00
538008064,[352656000],2023-03-14 03:30:00+00:00
563014650,[564780000],2023-03-14 04:30:00+00:00
538008064,[352656000],2023-03-14 04:30:00+00:00
564780000,[563014650],2023-03-14 04:30:00+00:00
352656000,[538008064],2023-03-14 04:30:00+00:00
352656000,[538008064],2023-03-14 06:30:00+00:00
538008064,[352656000],2023-03-14 06:30:00+00:00
538008064,[352656000],2023-03-14 07:30:00+00:00
352656000,[538008064],2023-03-14 07:30:00+00:00
538008064,[352656000],2023-03-14 09:30:00+00:00
352656000,[538008064],2023-03-14 09:30:00+00:00
538008064,[352656000],2023-03-14 10:30:00+00:00
352656000,[538008064],2023-03-14 10:30:00+00:00
352656000,[538008064],2023-03-14 12:30:00+00:00
538008064,[352656000],2023-03-14 12:30:00+00:00
352656000,[538008064],2023-03-14 13:30:00+00:00
538008064,[352656000],2023-03-14 13:30:00+00:00
538008064,[352656000],2023-03-14 14:30:00+00:00
352656000,[538008064],2023-03-14 14:30:00+00:00
538008064,[352656000],2023-03-14 15:30:00+00:00
352656000,[538008064],2023-03-14 15:30:00+00:00
352656000,[538008064],2023-03-14 16:30:00+00:00
538008064,[352656000],2023-03-14 16:30:00+00:00
218719092,[232345740],2023-03-14 18:30:00+00:00
232345740,[218719092],2023-03-14 18:30:00+00:00
232006548,"[889799564, 875832716]",2023-03-14 20:30:00+00:00
889799564,"[232006548, 875832716]",2023-03-14 20:30:00+00:00
875832716,"[232006548, 889799564]",2023-03-14 20:30:00+00:00
875832716,"[889799564, 232006548, 232345740]",2023-03-14 21:30:00+00:00
889799564,"[875832716, 232006548, 232345740]",2023-03-14 21:30:00+00:00
232006548,"[875832716, 889799564, 232345740]",2023-03-14 21:30:00+00:00
232345740,"[875832716, 889799564, 232006548]",2023-03-14 21:30:00+00:00
232345740,"[232006548, 889799564, 875832716]",2023-03-14 22:30:00+00:00
232006548,"[232345740, 889799564, 875832716]",2023-03-14 22:30:00+00:00
889799564,"[232345740, 232006548, 875832716]",2023-03-14 22:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-14 22:30:00+00:00
875832716,"[232345740, 889799564, 232006548]",2023-03-14 23:30:00+00:00
232345740,"[875832716, 889799564, 232006548]",2023-03-14 23:30:00+00:00
889799564,"[875832716, 232345740, 232006548]",2023-03-14 23:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-14 23:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-15 00:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-15 00:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-15 00:30:00+00:00
889799564,"[875832716, 232345740, 232006548]",2023-03-15 00:30:00+00:00
875832716,"[232006548, 889799564, 232345740, 218719092]",2023-03-15 01:30:00+00:00
232006548,"[875832716, 889799564, 232345740, 218719092]",2023-03-15 01:30:00+00:00
889799564,"[875832716, 232006548, 232345740, 218719092]",2023-03-15 01:30:00+00:00
232345740,"[875832716, 232006548, 889799564, 218719092]",2023-03-15 01:30:00+00:00
218719092,"[875832716, 232006548, 889799564, 232345740]",2023-03-15 01:30:00+00:00
232006548,"[889799564, 232345740, 218719092, 875832716]",2023-03-15 02:30:00+00:00
889799564,"[232006548, 232345740, 218719092, 875832716]",2023-03-15 02:30:00+00:00
232345740,"[232006548, 889799564, 218719092, 875832716]",2023-03-15 02:30:00+00:00
218719092,"[232006548, 889799564, 232345740, 875832716]",2023-03-15 02:30:00+00:00
875832716,"[232006548, 889799564, 232345740, 218719092]",2023-03-15 02:30:00+00:00
232006548,"[232345740, 875832716, 218719092, 889799564]",2023-03-15 03:30:00+00:00
232345740,"[232006548, 875832716, 218719092, 889799564]",2023-03-15 03:30:00+00:00
875832716,"[232006548, 232345740, 218719092, 889799564]",2023-03-15 03:30:00+00:00
218719092,"[232006548, 232345740, 875832716, 889799564]",2023-03-15 03:30:00+00:00
889799564,"[232006548, 232345740, 875832716, 218719092]",2023-03-15 03:30:00+00:00
218719092,"[232006548, 889799564, 875832716, 232345740]",2023-03-15 04:30:00+00:00
232006548,"[218719092, 889799564, 875832716, 232345740]",2023-03-15 04:30:00+00:00
889799564,"[218719092, 232006548, 875832716, 232345740]",2023-03-15 04:30:00+00:00
875832716,"[218719092, 232006548, 889799564, 232345740]",2023-03-15 04:30:00+00:00
232345740,"[218719092, 232006548, 889799564, 875832716]",2023-03-15 04:30:00+00:00
889799564,"[232006548, 875832716, 232345740, 218719092]",2023-03-15 05:30:00+00:00
232006548,"[889799564, 875832716, 232345740, 218719092]",2023-03-15 05:30:00+00:00
875832716,"[889799564, 232006548, 232345740, 218719092]",2023-03-15 05:30:00+00:00
232345740,"[889799564, 232006548, 875832716, 218719092]",2023-03-15 05:30:00+00:00
218719092,"[889799564, 232006548, 875832716, 232345740]",2023-03-15 05:30:00+00:00
875832716,"[218719092, 232345740, 889799564, 232006548]",2023-03-15 06:30:00+00:00
218719092,"[875832716, 232345740, 889799564, 232006548]",2023-03-15 06:30:00+00:00
232345740,"[875832716, 218719092, 889799564, 232006548]",2023-03-15 06:30:00+00:00
889799564,"[875832716, 218719092, 232345740, 232006548]",2023-03-15 06:30:00+00:00
232006548,"[875832716, 218719092, 232345740, 889799564]",2023-03-15 06:30:00+00:00
889799564,"[218719092, 875832716, 232006548, 232345740]",2023-03-15 07:30:00+00:00
218719092,"[889799564, 875832716, 232006548, 232345740]",2023-03-15 07:30:00+00:00
875832716,"[889799564, 218719092, 232006548, 232345740]",2023-03-15 07:30:00+00:00
232006548,"[889799564, 218719092, 875832716, 232345740]",2023-03-15 07:30:00+00:00
232345740,"[889799564, 218719092, 875832716, 232006548]",2023-03-15 07:30:00+00:00
889799564,"[232345740, 218719092, 232006548, 875832716]",2023-03-15 08:30:00+00:00
232345740,"[889799564, 218719092, 232006548, 875832716]",2023-03-15 08:30:00+00:00
218719092,"[889799564, 232345740, 232006548, 875832716]",2023-03-15 08:30:00+00:00
232006548,"[889799564, 232345740, 218719092, 875832716]",2023-03-15 08:30:00+00:00
875832716,"[889799564, 232345740, 218719092, 232006548]",2023-03-15 08:30:00+00:00
875832716,"[889799564, 232345740, 218719092, 232006548]",2023-03-15 09:30:00+00:00
889799564,"[875832716, 232345740, 218719092, 232006548]",2023-03-15 09:30:00+00:00
232345740,"[875832716, 889799564, 218719092, 232006548]",2023-03-15 09:30:00+00:00
218719092,"[875832716, 889799564, 232345740, 232006548]",2023-03-15 09:30:00+00:00
232006548,"[875832716, 889799564, 232345740, 218719092]",2023-03-15 09:30:00+00:00
875832716,"[232006548, 889799564]",2023-03-15 10:30:00+00:00
232006548,"[875832716, 889799564]",2023-03-15 10:30:00+00:00
889799564,"[875832716, 232006548]",2023-03-15 10:30:00+00:00
875832716,"[232345740, 889799564, 232006548]",2023-03-15 17:30:00+00:00
232345740,"[875832716, 889799564, 232006548]",2023-03-15 17:30:00+00:00
889799564,"[875832716, 232345740, 232006548]",2023-03-15 17:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-15 17:30:00+00:00
232345740,[875832716],2023-03-15 19:30:00+00:00
875832716,[232345740],2023-03-15 19:30:00+00:00
232345740,[232006548],2023-03-15 20:30:00+00:00
232006548,[232345740],2023-03-15 20:30:00+00:00
889799564,[232006548],2023-03-15 21:30:00+00:00
232345740,[232006548],2023-03-15 21:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-15 21:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-15 22:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-15 22:30:00+00:00
232345740,"[889799564, 232006548, 875832716]",2023-03-15 22:30:00+00:00
875832716,[232345740],2023-03-15 22:30:00+00:00
232006548,"[232345740, 889799564]",2023-03-15 23:30:00+00:00
232345740,"[232006548, 889799564]",2023-03-15 23:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-15 23:30:00+00:00
232006548,[889799564],2023-03-16 00:30:00+00:00
889799564,[232006548],2023-03-16 00:30:00+00:00
889799564,[232006548],2023-03-16 01:30:00+00:00
232006548,[889799564],2023-03-16 01:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 02:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-16 02:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 02:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-16 02:30:00+00:00
875832716,"[889799564, 232006548, 232345740]",2023-03-16 03:30:00+00:00
889799564,"[875832716, 232006548, 232345740]",2023-03-16 03:30:00+00:00
232006548,"[875832716, 889799564, 232345740]",2023-03-16 03:30:00+00:00
232345740,"[875832716, 889799564, 232006548]",2023-03-16 03:30:00+00:00
232006548,"[889799564, 875832716, 232345740]",2023-03-16 04:30:00+00:00
889799564,"[232006548, 875832716]",2023-03-16 04:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 04:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 04:30:00+00:00
232006548,"[889799564, 232345740, 875832716]",2023-03-16 05:30:00+00:00
889799564,"[232006548, 875832716]",2023-03-16 05:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 05:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 05:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 06:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-16 06:30:00+00:00
889799564,[232006548],2023-03-16 06:30:00+00:00
232006548,"[232345740, 875832716, 889799564]",2023-03-16 06:30:00+00:00
232006548,"[875832716, 889799564, 232345740]",2023-03-16 07:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 07:30:00+00:00
889799564,[232006548],2023-03-16 07:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 07:30:00+00:00
563078430,[565761000],2023-03-16 08:30:00+00:00
232006548,"[889799564, 875832716]",2023-03-16 08:30:00+00:00
889799564,[232006548],2023-03-16 08:30:00+00:00
875832716,[232006548],2023-03-16 08:30:00+00:00
565761000,[563078430],2023-03-16 08:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-16 09:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-16 09:30:00+00:00
563078430,[565761000],2023-03-16 09:30:00+00:00
565761000,[563078430],2023-03-16 09:30:00+00:00
232345740,"[889799564, 232006548]",2023-03-16 09:30:00+00:00
875832716,"[232345740, 889799564]",2023-03-16 10:30:00+00:00
232345740,"[875832716, 889799564]",2023-03-16 10:30:00+00:00
889799564,"[875832716, 232345740]",2023-03-16 10:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 11:30:00+00:00
563078430,[565761000],2023-03-16 11:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-16 11:30:00+00:00
232006548,"[232345740, 875832716, 889799564]",2023-03-16 11:30:00+00:00
889799564,"[232345740, 875832716, 232006548]",2023-03-16 11:30:00+00:00
565761000,[563078430],2023-03-16 11:30:00+00:00
232006548,"[889799564, 232345740, 875832716]",2023-03-16 12:30:00+00:00
889799564,"[232006548, 232345740, 875832716]",2023-03-16 12:30:00+00:00
232345740,"[232006548, 889799564, 875832716]",2023-03-16 12:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 12:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-16 13:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 13:30:00+00:00
